timestamps	CRIX
27.03.2017	2255.370147
28.03.2017	2274.159845
29.03.2017	2287.400008
30.03.2017	2298.285798
31.03.2017	2373.523009
01.04.2017	2393.698718
02.04.2017	2514.041781
03.04.2017	2458.333487
04.04.2017	2465.448703
05.04.2017	2503.753756
06.04.2017	2558.887114
07.04.2017	2558.873333
08.04.2017	2566.78912
09.04.2017	2569.966759
10.04.2017	2591.44745
11.04.2017	2614.805563
12.04.2017	2641.438344
13.04.2017	2601.977407
14.04.2017	2597.485282
15.04.2017	2610.940695
16.04.2017	2614.743913
17.04.2017	2644.034824
18.04.2017	2681.231545
19.04.2017	2654.447674
20.04.2017	2723.446755
21.04.2017	2729.839298
22.04.2017	2729.593503
23.04.2017	2743.754497
24.04.2017	2753.620474
25.04.2017	2778.740113
26.04.2017	2855.879138
27.04.2017	3022.018828
28.04.2017	3126.650667
29.04.2017	3174.96872
30.04.2017	3279.401557
01.05.2017	3332.326765
02.05.2017	3393.758248
03.05.2017	3547.618448
04.05.2017	3783.459057
05.05.2017	3850.648383
06.05.2017	4030.507623
07.05.2017	4170.183366
08.05.2017	4502.155158
09.05.2017	4428.155178
10.05.2017	4612.844658
11.05.2017	4687.249195
12.05.2017	4605.278094
13.05.2017	4722.396443
14.05.2017	4798.105983
15.05.2017	4809.959454
16.05.2017	4809.959454
17.05.2017	5491.978204
18.05.2017	5672.18302
19.05.2017	5997.808228
20.05.2017	6194.483501
21.05.2017	6480.957443
22.05.2017	6520.295185
23.05.2017	7153.138129
24.05.2017	7518.10555
25.05.2017	6928.013758
26.05.2017	6619.194665
27.05.2017	6083.235315
28.05.2017	6522.083546
29.05.2017	6863.330548
30.05.2017	6868.993716
31.05.2017	7313.223775
01.06.2017	7787.903648
02.06.2017	7940.360402
03.06.2017	7975.585629
04.06.2017	8246.037891
05.06.2017	8594.798119
06.06.2017	9073.520371
07.06.2017	8589.570359
08.06.2017	8893.548384
09.06.2017	9092.978335
10.06.2017	9636.301089
11.06.2017	9944.817377
12.06.2017	9732.891486
13.06.2017	9868.508772
14.06.2017	9067.913157
15.06.2017	8879.28907
16.06.2017	9162.902799
17.06.2017	9741.479719
18.06.2017	9487.431551
19.06.2017	9736.022248
20.06.2017	10024.29445
21.06.2017	9510.895953
22.06.2017	9545.910285
23.06.2017	9736.267638
24.06.2017	9239.952616
25.06.2017	8932.880649
26.06.2017	8299.52413
27.06.2017	8566.338169
28.06.2017	9044.482529
29.06.2017	8791.333193
30.06.2017	8471.914468
01.07.2017	8094.944699
02.07.2017	8475.134436
03.07.2017	8560.348103
04.07.2017	8594.197893
05.07.2017	8550.877834
06.07.2017	8553.752625
07.07.2017	7951.656711
08.07.2017	8130.531826
09.07.2017	7917.250716
10.07.2017	7136.984065
11.07.2017	6875.790368
12.07.2017	7393.320375
13.07.2017	7146.693881
14.07.2017	6736.247492
15.07.2017	6032.488712
16.07.2017	5623.179906
17.07.2017	6531.017101
18.07.2017	7164.820328
19.07.2017	6714.146519
20.07.2017	7905.069245
21.07.2017	7692.374026
22.07.2017	8198.274529
23.07.2017	8002.204611
24.07.2017	8033.30774
25.07.2017	7395.440267
26.07.2017	7247.405886
27.07.2017	7500.814913
28.07.2017	7818.24689
29.07.2017	7588.339329
30.07.2017	7476.493672
31.07.2017	7768.842015
01.08.2017	7850.188933
02.08.2017	7728.258095
03.08.2017	7950.68222
04.08.2017	8046.949453
05.08.2017	9031.68124
06.08.2017	9028.204969
07.08.2017	9400.209729
08.08.2017	9823.91339
09.08.2017	9675.119116
10.08.2017	9724.775687
11.08.2017	10143.83472
12.08.2017	10506.97468
13.08.2017	10730.41976
14.08.2017	10996.69307
15.08.2017	10841.25679
16.08.2017	11178.88397
17.08.2017	11461.10211
18.08.2017	10825.76524
19.08.2017	10908.49895
20.08.2017	10786.31674
21.08.2017	11044.57813
22.08.2017	11245.48521
23.08.2017	11462.22627
24.08.2017	11564.37369
25.08.2017	11725.91628
26.08.2017	11694.48995
27.08.2017	11794.96119
28.08.2017	12058.48002
29.08.2017	12495.41178
30.08.2017	12967.58326
31.08.2017	13429.87437
01.09.2017	13808.64474
02.09.2017	12697.92575
03.09.2017	12906.76591
04.09.2017	11664.57768
05.09.2017	12168.50941
06.09.2017	12676.01669
07.09.2017	12563.53995
08.09.2017	11712.46071
09.09.2017	11575.23722
10.09.2017	11274.79004
11.09.2017	11404.71412
12.09.2017	11275.29239
13.09.2017	10679.09454
14.09.2017	8414.229044
15.09.2017	9689.39634
16.09.2017	9692.35801
17.09.2017	9534.629771
18.09.2017	10885.06266
19.09.2017	10707.75546
20.09.2017	10617.02311
21.09.2017	9921.039778
22.09.2017	9819.529171
23.09.2017	10486.47192
24.09.2017	10614.3014
25.09.2017	10998.04874
26.09.2017	10782.65852
27.09.2017	11366.70984
28.09.2017	11058.24492
29.09.2017	10962.45445
30.09.2017	11351.10731
01.10.2017	11446.25358
02.10.2017	11443.18063
03.10.2017	11269.10546
04.10.2017	11097.64041
05.10.2017	11261.46929
06.10.2017	11471.4909
07.10.2017	11611.42932
08.10.2017	11894.59466
09.10.2017	11895.33619
10.10.2017	12025.67707
11.10.2017	12130.89593
12.10.2017	12843.38558
13.10.2017	13656.60741
14.10.2017	13755.63413
15.10.2017	13778.89211
16.10.2017	13787.9659
17.10.2017	13508.31173
18.10.2017	13334.0485
19.10.2017	13392.08601
20.10.2017	13681.07088
21.10.2017	13776.53292
22.10.2017	13661.53782
23.10.2017	13498.83297
24.10.2017	13060.16602
25.10.2017	13269.61142
26.10.2017	13499.62767
27.10.2017	13401.49457
28.10.2017	13384.0713
29.10.2017	14120.67111
30.10.2017	14128.95835
31.10.2017	14449.91273
01.11.2017	14869.46128
02.11.2017	15414.63154
03.11.2017	15880.48926
04.11.2017	15970.58528
05.11.2017	16013.31679
06.11.2017	15659.3479
07.11.2017	15772.90539
08.11.2017	16507.90108
09.11.2017	16446.62962
10.11.2017	15757.68675
11.11.2017	16115.4187
12.11.2017	15572.37612
